   1:  3lqi-C  3.4  3.5   66   181    3 PDB  MOLECULE: MLL1 PHD3-BROMO;                                           
   2:  4e2p-A  3.3  3.5   56   370    7 PDB  MOLECULE: CYTOCHROME P450 107B1 (P450CVIIB1);                        
   3:  2y5n-B  3.3  3.4   55   400    9 PDB  MOLECULE: P-450-LIKE PROTEIN;                                        
   4:  3j9p-A  3.3  3.5   57   560    7 PDB  MOLECULE: MALTOSE-BINDING PERIPLASMIC PROTEIN, TRANSIENT RE          
   5:  4kp3-D  3.2  2.7   46    82    7 PDB  MOLECULE: UNCONVENTIONAL MYOSIN-VA;                                  
   6:  3c28-A  3.2  3.3   63   299    3 PDB  MOLECULE: RECOMBINASE CRE;                                           
   7:  1nzb-A  3.2  3.4   62   332    2 PDB  MOLECULE: CRE RECOMBINASE;                                           
   8:  1yoz-B  3.1  2.7   58   116    7 PDB  MOLECULE: HYPOTHETICAL PROTEIN AF0941;                               
   9:  3q2e-A  3.1  3.2   56   107    9 PDB  MOLECULE: BROMODOMAIN AND WD REPEAT-CONTAINING PROTEIN 1;            
  10:  1cl6-A  3.1  3.5   58   399   10 PDB  MOLECULE: CYTOCHROME P450;                                           
  11:  2a3v-B  3.0  3.1   57   320    5 PDB  MOLECULE: SITE-SPECIFIC RECOMBINASE INTI4;                           
  12:  4uw9-A  2.9  3.1   54   228    6 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  13:  3iu6-A  2.9  3.4   66   143    2 PDB  MOLECULE: PROTEIN POLYBROMO-1;                                       
  14:  1e6i-A  2.9  3.2   57   110    7 PDB  MOLECULE: TRANSCRIPTIONAL ACTIVATOR GCN5;                            
  15:  3b6a-A  2.9  5.9   46   213    7 PDB  MOLECULE: ACTR PROTEIN;                                              
  16:  3bes-R  2.9  3.2   48   250    2 PDB  MOLECULE: INTERFERON GAMMA;                                          
  17:  2flq-A  2.9  4.1   45   359    4 PDB  MOLECULE: NITRIC OXIDE SYNTHASE;                                     
  18:  2wzk-A  2.9  3.4   64   369    6 PDB  MOLECULE: CULLIN-5;                                                  
  19:  1vb5-B  2.9  2.9   55   275   13 PDB  MOLECULE: TRANSLATION INITIATION FACTOR EIF-2B;                      
  20:  4n4g-A  2.8  3.4   57   209    9 PDB  MOLECULE: ZINC FINGER MYND DOMAIN-CONTAINING PROTEIN 11;             
  21:  2ptm-A  2.8  2.4   39   192    8 PDB  MOLECULE: HYPERPOLARIZATION-ACTIVATED (IH) CHANNEL;                  
  22:  3i4r-B  2.7  3.6   63   528    6 PDB  MOLECULE: NUCLEAR PORE COMPLEX PROTEIN NUP107;                       
  23:  3abb-A  2.7  3.4   56   383    7 PDB  MOLECULE: CYTOCHROME P450 HYDROXYLASE;                               
  24:  4v2r-B  2.7  3.1   54   618   15 PDB  MOLECULE: PHENYLALANINE AMINOMUTASE (L-BETA-PHENYLALANINE F          
  25:  5czg-A  2.7  3.7   59   115    8 PDB  MOLECULE: HYPOTHETICAL BROMODOMAIN;                                  
  26:  4c3o-A  2.7  3.7   61   583    3 PDB  MOLECULE: HYDROGENASE-1 LARGE SUBUNIT;                               
  27:  2ff4-A  2.7  2.9   50   379    8 PDB  MOLECULE: PROBABLE REGULATORY PROTEIN EMBR;                          
  28:  4z5q-A  2.7  3.4   54   363    7 PDB  MOLECULE: CYTOCHROME P450 HYDROXYLASE;                               
  29:  1pd3-A  2.7  3.4   43    54    2 PDB  MOLECULE: NONSTRUCTURAL PROTEIN NS2;                                 
  30:  5c4q-A  2.6  3.4   55   118   11 PDB  MOLECULE: BROMODOMAIN;                                               
  31:  3mb3-A  2.6  3.1   54   116    9 PDB  MOLECULE: PH-INTERACTING PROTEIN;                                    
  32:  4l3u-A  2.6  3.2   61   123   11 PDB  MOLECULE: UNCHARACTERIZED PROTEIN;                                   
  33:  3tyw-D  2.6  3.4   57   399    7 PDB  MOLECULE: PUTATIVE CYTOCHROME P450;                                  
  34:  2kd1-A  2.6  3.4   60   118    5 PDB  MOLECULE: DNA INTEGRATION/RECOMBINATION/INVERTION PROTEIN;           
  35:  3nxb-A  2.6  3.3   54   101    7 PDB  MOLECULE: CAT EYE SYNDROME CRITICAL REGION PROTEIN 2;                
  36:  4ubs-A  2.6  4.0   56   393    9 PDB  MOLECULE: PENTALENIC ACID SYNTHASE;                                  
  37:  4xdi-A  2.6  3.2   60   127   13 PDB  MOLECULE: CHLAMYDOMONAS REINHARDTII THB1;                            
  38:  4hh0-A  2.6  3.5   53   383    8 PDB  MOLECULE: APPA PROTEIN;                                              
  39:  1ug3-A  2.6  2.8   49   323   14 PDB  MOLECULE: EUKARYOTIC PROTEIN SYNTHESIS INITIATION FACTOR             
  40:  3dkq-A  2.6  3.4   41   230   12 PDB  MOLECULE: PKHD-TYPE HYDROXYLASE SBAL_3634;                           
  41:  2rgo-A  2.6  2.9   47   557    6 PDB  MOLECULE: ALPHA-GLYCEROPHOSPHATE OXIDASE;                            
  42:  2db7-A  2.6  2.9   42    57    2 PDB  MOLECULE: HAIRY/ENHANCER-OF-SPLIT RELATED WITH YRPW MOTIF            
  43:  3d7c-A  2.6  3.4   59   111    2 PDB  MOLECULE: GENERAL CONTROL OF AMINO ACID SYNTHESIS PROTEIN 5          
  44:  2dvv-A  2.6  3.5   57   112   16 PDB  MOLECULE: BROMODOMAIN-CONTAINING PROTEIN 2;                          
  45:  3kz4-B  2.6  3.0   44   810    5 PDB  MOLECULE: INNER CAPSID PROTEIN VP2;                                  
  46:  2k3o-A  2.5  2.8   54   129    6 PDB  MOLECULE: TUSP1;                                                     
  47:  3o59-X  2.5  3.0   54   244    4 PDB  MOLECULE: DNA POLYMERASE II LARGE SUBUNIT;                           
  48:  2khq-A  2.5  3.7   61   110   10 PDB  MOLECULE: INTEGRASE;                                                 
  49:  1m62-A  2.5  3.1   52    87    8 PDB  MOLECULE: BAG-FAMILY MOLECULAR CHAPERONE REGULATOR-4;                
  50:  4chc-A  2.5  2.9   54   162    2 PDB  MOLECULE: POLYMERASE ACIDIC PROTEIN;                                 
  51:  2rgo-B  2.5  3.5   49   530    6 PDB  MOLECULE: ALPHA-GLYCEROPHOSPHATE OXIDASE;                            
  52:  4he8-A  2.5  3.4   41    92    7 PDB  MOLECULE: NADH-QUINONE OXIDOREDUCTASE SUBUNIT 7;                     
  53:  4hse-A  2.5  4.1   41   369    5 PDB  MOLECULE: CHAPERONE PROTEIN CLPB;                                    
  54:  1jm4-B  2.5  3.5   59   118    2 PDB  MOLECULE: HIV-1 TAT PEPTIDE;                                         
  55:  2odm-B  2.5  3.3   49    83    8 PDB  MOLECULE: UPF0358 PROTEIN MW0995;                                    
  56:  4jin-A  2.5  3.2   55   254   15 PDB  MOLECULE: RIO-TYPE SERINE/THREONINE-PROTEIN KINASE RIO1;             
  57:  2d9e-A  2.4  3.3   54   121    7 PDB  MOLECULE: PEREGRIN;                                                  
  58:  2e7n-A  2.4  3.4   55   117   18 PDB  MOLECULE: BROMODOMAIN-CONTAINING PROTEIN 3;                          
  59:  3k2j-A  2.4  2.8   51   121    4 PDB  MOLECULE: PROTEIN POLYBROMO-1;                                       
  60:  5ame-A  2.4  3.3   54   123    4 PDB  MOLECULE: BROMODOMAIN-CONTAINING PROTEIN 1;                          
  61:  3vkh-B  2.4  3.3   60  1788    7 PDB  MOLECULE: DYNEIN HEAVY CHAIN, CYTOPLASMIC;                           
  62:  2ikb-A  2.4  3.5   55   163    9 PDB  MOLECULE: HYPOTHETICAL PROTEIN NMB1012;                              
  63:  3lys-D  2.4  3.5   58   107    5 PDB  MOLECULE: PROPHAGE PI2 PROTEIN 01, INTEGRASE;                        
  64:  1wa5-C  2.4  3.9   54   937    2 PDB  MOLECULE: GTP-BINDING NUCLEAR PROTEIN RAN;                           
  65:  4gib-A  2.4  3.4   56   226    7 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  66:  3j9x-1  2.4  3.0   50   128    6 PDB  MOLECULE: COAT PROTEIN;                                              
  67:  4aqf-B  2.4  3.1   48   474    6 PDB  MOLECULE: NUCLEOPROTEIN;                                             
  68:  2ckz-C  2.4  3.2   51   124    8 PDB  MOLECULE: DNA-DIRECTED RNA POLYMERASE III 18 KD                      
  69:  2wxl-A  2.4  3.2   46   823    4 PDB  MOLECULE: PHOSPHATIDYLINOSITOL-4,5-BISPHOSPHATE 3-KINASE CA          
