F    1   4x3x-A  5.0  2.9   65    82   11 PDB  MOLECULE: ACTIVITY-REGULATED CYTOSKELETON-ASSOCIATED PROTEI          
F   22   2j68-A  3.4  3.8   64   680    6 PDB  MOLECULE: BACTERIAL DYNAMIN-LIKE PROTEIN;                            
F   29   1j7q-A  3.2  3.1   64    86    5 PDB  MOLECULE: CALCIUM VECTOR PROTEIN;                                    
F   33   4x3i-A  3.2  2.7   57    72    5 PDB  MOLECULE: ACTIVITY-REGULATED CYTOSKELETON-ASSOCIATED PROTEI          
F   54   1vhn-A  3.0  2.9   67   305    7 PDB  MOLECULE: PUTATIVE FLAVIN OXIDOREDUCATASE;                           
F   64   2koo-A  3.0  2.4   54    81    7 PDB  MOLECULE: ACYL CARRIER PROTEIN;                                      
F   72   4keh-D  3.0  3.0   54    77    9 PDB  MOLECULE: N-{3-[DIHYDROXY(NONYL)-LAMBDA~4~-SULFANYL]PROPYL}          
F   73   2kod-A  3.0  2.9   63    88    8 PDB  MOLECULE: HIV-1 CA C-TERMINAL DOMAIN;                                
F   78   1hy8-A  2.9  3.0   54    76   11 PDB  MOLECULE: ACYL CARRIER PROTEIN;                                      
F   79   4x3h-A  2.9  2.7   57    79    5 PDB  MOLECULE: ACTIVITY-REGULATED CYTOSKELETON-ASSOCIATED PROTEI          
F   98   3e3n-E  2.9  3.2   54   803    2 PDB  MOLECULE: GLYCOGEN PHOSPHORYLASE, MUSCLE FORM;                       
F   99   3e3o-D  2.9  3.1   53   806    2 PDB  MOLECULE: GLYCOGEN PHOSPHORYLASE, MUSCLE FORM;                       
F  100   2kod-B  2.9  2.9   63    88    8 PDB  MOLECULE: HIV-1 CA C-TERMINAL DOMAIN;                                
F  103   1e1y-A  2.8  3.1   54   813    2 PDB  MOLECULE: GLYCOGEN PHOSPHORYLASE;                                    
F  104   4hkg-A  2.8  3.4   57    80   12 PDB  MOLECULE: PHOSPHOPANTETHEINE ATTACHMENT SITE FAMILY PROTEIN          
F  119   2n57-A  2.8  3.2   52    78   13 PDB  MOLECULE: ACYL CARRIER PROTEIN;                                      
F  122   4keh-C  2.8  2.9   53    77    9 PDB  MOLECULE: N-{3-[DIHYDROXY(NONYL)-LAMBDA~4~-SULFANYL]PROPYL}          
F  123   3ny7-B  2.8  3.0   52    77   10 PDB  MOLECULE: SULFATE TRANSPORTER;                                       
F  126   3e3n-A  2.8  3.2   54   814    2 PDB  MOLECULE: GLYCOGEN PHOSPHORYLASE, MUSCLE FORM;                       
F  130   2np3-B  2.7  3.9   73   180   12 PDB  MOLECULE: PUTATIVE TETR-FAMILY REGULATOR;                            
F  131   4bf9-A  2.7  3.4   66   318    9 PDB  MOLECULE: TRNA-DIHYDROURIDINE SYNTHASE C;                            
F  137   4ihf-K  2.7  2.8   50    76   10 PDB  MOLECULE: UDP-3-O-(3-HYDROXYMYRISTOYL)GLUCOSAMINE N-ACYLTRA          
F  138   4hkg-B  2.7  3.4   56    80   13 PDB  MOLECULE: PHOSPHOPANTETHEINE ATTACHMENT SITE FAMILY PROTEIN          
F  139   1l5r-B  2.7  3.0   52   791    2 PDB  MOLECULE: GLYCOGEN PHOSPHORYLASE, LIVER FORM;                        
F  144   3vrl-C  2.6  2.7   54    73    6 PDB  MOLECULE: A10F9 FAB HEAVY CHAIN;                                     
F  145   3vrl-D  2.6  2.8   54    73    6 PDB  MOLECULE: A10F9 FAB HEAVY CHAIN;                                     
F  159   2x2d-E  2.6  3.9   66   136   12 PDB  MOLECULE: PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A;                     
F  163   1t8k-A  2.6  2.9   51    77   10 PDB  MOLECULE: ACYL CARRIER PROTEIN;                                      
F  164   4ihh-K  2.6  2.7   48    73   10 PDB  MOLECULE: UDP-3-O-(3-HYDROXYMYRISTOYL)GLUCOSAMINE N-ACYLTRA          
F  165   1vw4-8  2.6  3.0   54   182    6 PDB  MOLECULE: 54S RIBOSOMAL PROTEIN L7, MITOCHONDRIAL;                   
F  169   2azd-B  2.6  3.7   57   796    7 PDB  MOLECULE: MALTODEXTRIN PHOSPHORYLASE;                                
F  170   2mf4-A  2.6  3.6   57    85   11 PDB  MOLECULE: HYBRID POLYKETIDE SYNTHASE-NON RIBOSOMAL PEPTIDE           
F  171   2np3-A  2.6  4.0   74   141   12 PDB  MOLECULE: PUTATIVE TETR-FAMILY REGULATOR;                            
F  174   3b0v-C  2.5  3.3   66   315    6 PDB  MOLECULE: TRNA;                                                      
F  175   3bge-A  2.5  2.9   58   163   10 PDB  MOLECULE: PREDICTED ATPASE;                                          
F  176   1n31-A  2.5  5.4   51   389    4 PDB  MOLECULE: L-CYSTEINE/CYSTINE LYASE C-DES;                            
F  177   1ng6-A  2.5  3.0   47   148   13 PDB  MOLECULE: HYPOTHETICAL PROTEIN YQEY;                                 
F  185   4etw-B  2.5  2.9   51    75   10 PDB  MOLECULE: PIMELYL-[ACYL-CARRIER PROTEIN] METHYL ESTER ESTER          
F  186   2k92-A  2.5  3.2   55    77   11 PDB  MOLECULE: ACYL CARRIER PROTEIN;                                      
