 i = 0 plot[i] = 0 sum = 0.000000 cdf = 0.000000
 i = 1 plot[i] = 0 sum = 0.000000 cdf = 0.000000
 i = 2 plot[i] = 0 sum = 0.000000 cdf = 0.000001
 i = 3 plot[i] = 0 sum = 0.000000 cdf = 0.000004
 i = 4 plot[i] = 0 sum = 0.000000 cdf = 0.000013
 i = 5 plot[i] = 0 sum = 0.000000 cdf = 0.000037
 i = 6 plot[i] = 0 sum = 0.000000 cdf = 0.000103
 i = 7 plot[i] = 0 sum = 0.000000 cdf = 0.000276
 i = 8 plot[i] = 0 sum = 0.000000 cdf = 0.000710
 i = 9 plot[i] = 0 sum = 0.000000 cdf = 0.001761
 i = 10 plot[i] = 0 sum = 0.000000 cdf = 0.004201
 i = 11 plot[i] = 0 sum = 0.000000 cdf = 0.009652
 i = 12 plot[i] = 0 sum = 0.000000 cdf = 0.021350
 i = 13 plot[i] = 0 sum = 0.000000 cdf = 0.045480
 i = 14 plot[i] = 0 sum = 0.000000 cdf = 0.093321
 i = 15 plot[i] = 0 sum = 0.000000 cdf = 0.184478
 i = 16 plot[i] = 0 sum = 0.000000 cdf = 0.351416
 i = 17 plot[i] = 0 sum = 0.000000 cdf = 0.645243
 i = 18 plot[i] = 0 sum = 0.000000 cdf = 1.142286
 i = 19 plot[i] = 0 sum = 0.000000 cdf = 1.950391
 i = 20 plot[i] = 1 sum = 1.000000 cdf = 3.213123
 i = 21 plot[i] = 0 sum = 1.000000 cdf = 5.109494
 i = 22 plot[i] = 1 sum = 2.000000 cdf = 7.846687
 i = 23 plot[i] = 2 sum = 4.000000 cdf = 11.643830
 i = 24 plot[i] = 4 sum = 8.000000 cdf = 16.706482
 i = 25 plot[i] = 13 sum = 21.000000 cdf = 23.193850
 i = 26 plot[i] = 10 sum = 31.000000 cdf = 31.183514
 i = 27 plot[i] = 11 sum = 42.000000 cdf = 40.640617
 i = 28 plot[i] = 9 sum = 51.000000 cdf = 51.399254
 i = 29 plot[i] = 15 sum = 66.000000 cdf = 63.162464
 i = 30 plot[i] = 9 sum = 75.000000 cdf = 75.523758
 i = 31 plot[i] = 9 sum = 84.000000 cdf = 88.008270
 i = 32 plot[i] = 12 sum = 96.000000 cdf = 100.126762
 i = 33 plot[i] = 9 sum = 105.000000 cdf = 111.432404
 i = 34 plot[i] = 17 sum = 122.000000 cdf = 121.569450
 i = 35 plot[i] = 17 sum = 139.000000 cdf = 130.305145
 i = 36 plot[i] = 4 sum = 143.000000 cdf = 137.540375
 i = 37 plot[i] = 5 sum = 148.000000 cdf = 143.299774
